name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
Le Petit Olympia,"6 Rue de Caumartin, 75009 Paris, France",Paris,9e,,restaurant,,,4.3,324,48.8706588,2.328246,https://maps.google.com/?cid=3478663271060264414&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.lepetitolympia.com/,https://thefork.fr/restaurant/le-petit-olympia-r425651/?cc=24751-923,"Type: Restaurant
Arrondissement: 9e
Google: 4.3 (324 reviews)
Food types: restaurant
Tags: Frenchie, Restaurant, Bistrot
Google summary: Wine & entrees served in a casual eatery featuring classic wood-paneled walls & paintings.
Google Maps: https://maps.google.com/?cid=3478663271060264414&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.lepetitolympia.com/
Booking: https://thefork.fr/restaurant/le-petit-olympia-r425651/?cc=24751-923"
Le Petit Vendôme,"8 Rue des Capucines, 75002 Paris, France",Paris,2e,,bar,,€€,4.3,2778,48.8687628,2.3297223,https://maps.google.com/?cid=8432549558822105511&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.facebook.com/lepetitvendome/,,"Type: French Restaurant
Arrondissement: 2e
Price: €€
Google: 4.3 (2,778 reviews)
Food types: bar
Tags: Bistrot
Google summary: Colorful, unpretentious bistro whipping up regional classics, sandwiches & daily specials.
Google Maps: https://maps.google.com/?cid=8432549558822105511&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.facebook.com/lepetitvendome/"
Le Petit Verdot,"75 Rue du Cherche-Midi, 75006 Paris, France",Paris,6e,,restaurant,,€€,4.7,228,48.847869,2.323569,https://maps.google.com/?cid=8948181745683820005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.le-petit-verdot.com/,,"Type: French Restaurant
Arrondissement: 6e
Price: €€
Google: 4.7 (228 reviews)
Food types: restaurant
Tags: Frenchie, Restaurant
Google Maps: https://maps.google.com/?cid=8948181745683820005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.le-petit-verdot.com/"
Le Pigalle,"9 Rue Frochot, 75009 Paris, France",Paris,9e,,"lodging, hotel",,,,,48.8816193,2.3371878,https://www.google.com/maps/search/?api=1&query=Le%20Pigalle%2C%20Paris%2C%20France,http://lepigalle.paris/,https://bookings.zenchef.com/results?rid=364396&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Arrondissement: 9e
Food types: lodging, hotel
Tags: Bar, Restaurant, SH, Hotel / BB, To work
Google Maps: https://www.google.com/maps/search/?api=1&query=Le%20Pigalle%2C%20Paris%2C%20France
Website: http://lepigalle.paris/
Booking: https://bookings.zenchef.com/results?rid=364396&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Le Plomb du Cantal,"3 Rue de la Gaité, 75014 Paris, France",Paris,14e,,restaurant,,€€,4.3,6264,48.8407596,2.3245496,https://maps.google.com/?cid=3155056994160105464&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.leplombducantal.com/,,"Type: French Restaurant
Arrondissement: 14e
Price: €€
Google: 4.3 (6,264 reviews)
Food types: restaurant
Tags: Bistrot, Restaurant
Google summary: Lively bistro known for dairy-rich recipes & mountain wines from the rugged Auvergne countryside.
Google Maps: https://maps.google.com/?cid=3155056994160105464&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.leplombducantal.com/"
Le Pont Traversé Paris 6,"62 Rue de Vaugirard, 75006 Paris, France",Paris,6e,,cafe,,,3.8,354,48.843235,2.3136037,https://maps.google.com/?cid=15961896496914520831&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://leponttraverse.com/,https://thefork.fr/restaurant/le-pont-traverse-r816708/?cc=24751-923,"Type: Restaurant
Arrondissement: 6e
Google: 3.8 (354 reviews)
Food types: cafe
Tags: Restaurant, Glutenfree
Google Maps: https://maps.google.com/?cid=15961896496914520831&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://leponttraverse.com/
Booking: https://thefork.fr/restaurant/le-pont-traverse-r816708/?cc=24751-923"
Le Quincy,"28 Avenue Ledru-Rollin, 75012 Paris, France",Paris,12e,,restaurant,,,,,48.8470738,2.3701329,https://www.google.com/maps/search/?api=1&query=Le%20Quincy%2C%20Paris%2C%20France,http://www.lequincy.fr,,"Arrondissement: 12e
Food types: restaurant
Tags: Bistrot, Restaurant, ❤️
Google Maps: https://www.google.com/maps/search/?api=1&query=Le%20Quincy%2C%20Paris%2C%20France
Website: http://www.lequincy.fr"
Le Relais Plaza,"21 Avenue Montaigne, 75008 Paris, France",Paris,8e,,restaurant,,€€€€,4.3,527,48.8661319,2.3038703,https://maps.google.com/?cid=10211892911784827070&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/restaurants-bars/le-relais-plaza/,https://thefork.fr/restaurant/relais-plaza-hotel-plaza-athenee-r708537/?cc=24751-923,"Type: Restaurant
Arrondissement: 8e
Price: €€€€
Google: 4.3 (527 reviews)
Food types: restaurant
Tags: Gastro / higher end
Google summary: Gourmet takes on brasserie classics presented in a posh environment with art deco styling.
Google Maps: https://maps.google.com/?cid=10211892911784827070&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/restaurants-bars/le-relais-plaza/
Booking: https://thefork.fr/restaurant/relais-plaza-hotel-plaza-athenee-r708537/?cc=24751-923"
Le Rigmarole,"10 Rue du Grand Prieuré, 75011 Paris, France",Paris,11e,,restaurant,,,,,48.8651318,2.3691085,https://www.google.com/maps/search/?api=1&query=Le%20Rigmarole%2C%20Paris%2C%20France,http://lerigmarole.com/,,"Arrondissement: 11e
Food types: restaurant
Tags: Restaurant, Trendy, ❤️
Google Maps: https://www.google.com/maps/search/?api=1&query=Le%20Rigmarole%2C%20Paris%2C%20France
Website: http://lerigmarole.com/"
Le Roi du Pot au Feu,"34 Rue Vignon, 75009 Paris, France",Paris,9e,,restaurant,,,,,48.8721493,2.3266434,https://www.google.com/maps/search/?api=1&query=Le%20Roi%20du%20Pot%20au%20Feu%2C%20Paris%2C%20France,https://www.facebook.com/pages/le-roi-du-pot-au-feu/104311942972928,,"Arrondissement: 9e
Food types: restaurant
Tags: Frenchie, Restaurant, Bistrot
Google Maps: https://www.google.com/maps/search/?api=1&query=Le%20Roi%20du%20Pot%20au%20Feu%2C%20Paris%2C%20France
Website: https://www.facebook.com/pages/le-roi-du-pot-au-feu/104311942972928"
